Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,TakeProfit,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1609502400000,2021-01-01 12:00:00,30,8,22,-90,-186.19,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1609588800000,2021-01-02 12:00:00,88,37,51,-264,660.939999999999,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1609675200000,2021-01-03 12:00:00,103,44,59,-309,670.02,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1609761600000,2021-01-04 12:00:00,85,30,55,-255,90.54,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1609848000000,2021-01-05 12:00:00,87,41,46,-261,697.16,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1609934400000,2021-01-06 12:00:00,88,27,61,-264,-181.91,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1610020800000,2021-01-07 12:00:00,119,55,64,-357,986.66,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1610107200000,2021-01-08 12:00:00,99,47,52,-297,844.98,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1610193600000,2021-01-09 12:00:00,60,24,36,-180,74.6600000000001,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1610280000000,2021-01-10 12:00:00,151,69,82,-453,1777.39,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1610366400000,2021-01-11 12:00:00,168,74,94,-504,1909.31,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1610452800000,2021-01-12 12:00:00,131,55,76,-393,952.98,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1610539200000,2021-01-13 12:00:00,65,14,51,-195,-601.26,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1610625600000,2021-01-14 12:00:00,64,22,42,-192,72.9,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1610712000000,2021-01-15 12:00:00,93,46,47,-279,898.97,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1610798400000,2021-01-16 12:00:00,79,34,45,-237,319.07,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1610884800000,2021-01-17 12:00:00,53,22,31,-159,323.42,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1610971200000,2021-01-18 12:00:00,52,18,34,-156,-16.31,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1611057600000,2021-01-19 12:00:00,64,30,34,-192,572.14,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1611144000000,2021-01-20 12:00:00,78,34,44,-234,628.06,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1611230400000,2021-01-21 12:00:00,127,56,71,-381,869.33,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1611316800000,2021-01-22 12:00:00,64,23,41,-192,84.28,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1611403200000,2021-01-23 12:00:00,45,15,30,-135,61.44,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1611489600000,2021-01-24 12:00:00,53,23,30,-159,387.43,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1611576000000,2021-01-25 12:00:00,79,36,43,-237,602.42,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1611662400000,2021-01-26 12:00:00,62,25,37,-186,280.62,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1611748800000,2021-01-27 12:00:00,95,38,57,-285,544.1,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1611835200000,2021-01-28 12:00:00,83,37,46,-249,567.66,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1611921600000,2021-01-29 12:00:00,114,41,73,-342,281.24,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.8,0.4,1612008000000,2021-01-30 12:00:00,45,18,27,-135,142.54,14314.59,-7572,6742.59
