Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1635768000000,2021-11-01 12:00:00,15,5,10,-45,60.46,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1635854400000,2021-11-02 12:00:00,8,3,5,-24,16.73,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1635940800000,2021-11-03 12:00:00,11,5,6,-33,58.01,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636027200000,2021-11-04 12:00:00,9,6,3,-27,173.01,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636113600000,2021-11-05 12:00:00,5,4,1,-15,120.23,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636200000000,2021-11-06 12:00:00,8,6,2,-24,90.9,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636286400000,2021-11-07 12:00:00,12,7,5,-36,193.5,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636372800000,2021-11-08 12:00:00,14,8,6,-42,161.62,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636459200000,2021-11-09 12:00:00,10,6,4,-30,137.62,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636545600000,2021-11-10 12:00:00,12,8,4,-36,438.25,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636632000000,2021-11-11 12:00:00,8,4,4,-24,77.22,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636718400000,2021-11-12 12:00:00,7,2,5,-21,43.72,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636804800000,2021-11-13 12:00:00,8,6,2,-24,148.82,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636891200000,2021-11-14 12:00:00,7,5,2,-21,190.52,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1636977600000,2021-11-15 12:00:00,15,13,2,-45,492.96,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637064000000,2021-11-16 12:00:00,16,12,4,-48,406.45,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637150400000,2021-11-17 12:00:00,10,8,2,-30,163.38,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637236800000,2021-11-18 12:00:00,15,9,6,-45,245.37,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637323200000,2021-11-19 12:00:00,4,3,1,-12,117.67,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637409600000,2021-11-20 12:00:00,10,7,3,-30,297.77,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637496000000,2021-11-21 12:00:00,12,8,4,-36,202.73,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637582400000,2021-11-22 12:00:00,21,14,7,-63,541.27,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637668800000,2021-11-23 12:00:00,7,4,3,-21,111.19,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637755200000,2021-11-24 12:00:00,14,8,6,-42,69.27,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637841600000,2021-11-25 12:00:00,17,14,3,-51,659.44,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1637928000000,2021-11-26 12:00:00,12,10,2,-36,207.21,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1638014400000,2021-11-27 12:00:00,11,6,5,-33,71.84,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1638100800000,2021-11-28 12:00:00,12,8,4,-36,278.64,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1638187200000,2021-11-29 12:00:00,13,8,5,-39,298.15,,,
BTCUSDT,3,5000,5,0,0.15,0.05,0.4,1638273600000,2021-11-30 12:00:00,14,6,8,-42,55.1,6129.05,-1011,5118.05
