Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,TakeProfit,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1609502400000,2021-01-01 12:00:00,33,21,12,-99,134.98,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1609588800000,2021-01-02 12:00:00,106,73,33,-318,1167.83,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1609675200000,2021-01-03 12:00:00,117,75,42,-351,406.17,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1609761600000,2021-01-04 12:00:00,104,69,35,-312,488.22,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1609848000000,2021-01-05 12:00:00,106,71,35,-318,819.88,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1609934400000,2021-01-06 12:00:00,95,55,40,-285,6.76000000000007,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1610020800000,2021-01-07 12:00:00,139,98,41,-417,1132.59,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1610107200000,2021-01-08 12:00:00,121,79,42,-363,351.86,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1610193600000,2021-01-09 12:00:00,68,44,24,-204,419.28,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1610280000000,2021-01-10 12:00:00,171,113,58,-513,1144.05,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1610366400000,2021-01-11 12:00:00,186,129,57,-558,1961.24,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1610452800000,2021-01-12 12:00:00,150,100,50,-450,841.84,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1610539200000,2021-01-13 12:00:00,73,43,30,-219,53.52,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1610625600000,2021-01-14 12:00:00,78,51,27,-234,469.91,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1610712000000,2021-01-15 12:00:00,114,80,34,-342,838.61,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1610798400000,2021-01-16 12:00:00,97,64,33,-291,684.99,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1610884800000,2021-01-17 12:00:00,70,45,25,-210,443.28,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1610971200000,2021-01-18 12:00:00,64,44,20,-192,495.48,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1611057600000,2021-01-19 12:00:00,81,55,26,-243,666.77,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1611144000000,2021-01-20 12:00:00,94,66,28,-282,896.69,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1611230400000,2021-01-21 12:00:00,148,96,52,-444,560.95,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1611316800000,2021-01-22 12:00:00,79,47,32,-237,187.28,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1611403200000,2021-01-23 12:00:00,58,38,20,-174,459.37,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1611489600000,2021-01-24 12:00:00,66,47,19,-198,600.650000000001,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1611576000000,2021-01-25 12:00:00,91,64,27,-273,589.43,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1611662400000,2021-01-26 12:00:00,77,51,26,-231,487.08,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1611748800000,2021-01-27 12:00:00,112,73,39,-336,779.9,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1611835200000,2021-01-28 12:00:00,96,61,35,-288,437.3,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1611921600000,2021-01-29 12:00:00,134,82,52,-402,322.01,,,
BTCUSDT,1,5000,5,0,0.2,0.05,0.4,0.6,1612008000000,2021-01-30 12:00:00,63,45,18,-189,531.43,18379.35,-8973,9406.34999999999
