Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,TakeProfit,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1635768000000,2021-11-01 12:00:00,23,16,7,-69,339.03,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1635854400000,2021-11-02 12:00:00,10,4,6,-30,87.77,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1635940800000,2021-11-03 12:00:00,15,5,10,-45,-1.50000000000001,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1636027200000,2021-11-04 12:00:00,15,7,8,-45,154.13,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1636113600000,2021-11-05 12:00:00,10,6,4,-30,162.74,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1636200000000,2021-11-06 12:00:00,9,6,3,-27,79.85,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1636286400000,2021-11-07 12:00:00,17,8,9,-51,224.3,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1636372800000,2021-11-08 12:00:00,14,8,6,-42,243.26,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1636459200000,2021-11-09 12:00:00,15,6,9,-45,103.51,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1636545600000,2021-11-10 12:00:00,25,16,9,-75,353.52,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1636632000000,2021-11-11 12:00:00,16,8,8,-48,206.27,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1636718400000,2021-11-12 12:00:00,16,7,9,-48,104.08,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1636804800000,2021-11-13 12:00:00,14,7,7,-42,129.05,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1636891200000,2021-11-14 12:00:00,12,7,5,-36,228.16,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1636977600000,2021-11-15 12:00:00,29,17,12,-87,425.41,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1637064000000,2021-11-16 12:00:00,31,15,16,-93,277.47,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1637150400000,2021-11-17 12:00:00,17,10,7,-51,186.74,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1637236800000,2021-11-18 12:00:00,31,19,12,-93,479.04,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1637323200000,2021-11-19 12:00:00,15,7,8,-45,105.7,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1637409600000,2021-11-20 12:00:00,12,7,5,-36,260.67,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1637496000000,2021-11-21 12:00:00,19,9,10,-57,148.23,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1637582400000,2021-11-22 12:00:00,27,16,11,-81,471.7,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1637668800000,2021-11-23 12:00:00,14,9,5,-42,219.48,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1637755200000,2021-11-24 12:00:00,25,10,15,-75,205.73,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1637841600000,2021-11-25 12:00:00,20,13,7,-60,279.83,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1637928000000,2021-11-26 12:00:00,21,7,14,-63,116.43,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1638014400000,2021-11-27 12:00:00,15,7,8,-45,69.79,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1638100800000,2021-11-28 12:00:00,23,12,11,-69,218.79,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1638187200000,2021-11-29 12:00:00,23,14,9,-69,474.32,,,
BTCUSDT,1,5000,4,0,0.05,0.15,0.8,0.4,1638273600000,2021-11-30 12:00:00,28,16,12,-84,429.55,6783.05,-1683,5100.05
