Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1635768000000,2021-11-01 12:00:00,21,14,7,-63,384.18,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1635854400000,2021-11-02 12:00:00,9,5,4,-27,69.32,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1635940800000,2021-11-03 12:00:00,14,9,5,-42,175.67,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1636027200000,2021-11-04 12:00:00,19,10,9,-57,158.98,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1636113600000,2021-11-05 12:00:00,14,10,4,-42,312.28,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1636200000000,2021-11-06 12:00:00,14,8,6,-42,90.88,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1636286400000,2021-11-07 12:00:00,14,10,4,-42,401.07,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1636372800000,2021-11-08 12:00:00,13,9,4,-39,226.65,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1636459200000,2021-11-09 12:00:00,11,7,4,-33,198.51,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1636545600000,2021-11-10 12:00:00,21,14,7,-63,441.97,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1636632000000,2021-11-11 12:00:00,13,8,5,-39,142.89,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1636718400000,2021-11-12 12:00:00,16,10,6,-48,176.66,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1636804800000,2021-11-13 12:00:00,16,6,10,-48,53.26,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1636891200000,2021-11-14 12:00:00,14,9,5,-42,193.41,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1636977600000,2021-11-15 12:00:00,27,19,8,-81,610.5,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1637064000000,2021-11-16 12:00:00,37,18,19,-111,174.69,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1637150400000,2021-11-17 12:00:00,14,9,5,-42,221.04,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1637236800000,2021-11-18 12:00:00,35,24,11,-105,608.35,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1637323200000,2021-11-19 12:00:00,12,6,6,-36,78.21,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1637409600000,2021-11-20 12:00:00,16,8,8,-48,145.87,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1637496000000,2021-11-21 12:00:00,17,9,8,-51,199.48,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1637582400000,2021-11-22 12:00:00,36,18,18,-108,348.95,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1637668800000,2021-11-23 12:00:00,15,10,5,-45,281.07,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1637755200000,2021-11-24 12:00:00,20,13,7,-60,273.09,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1637841600000,2021-11-25 12:00:00,31,17,14,-93,469.49,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1637928000000,2021-11-26 12:00:00,23,13,10,-69,213.83,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1638014400000,2021-11-27 12:00:00,15,6,9,-45,49.08,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1638100800000,2021-11-28 12:00:00,24,12,12,-72,327.38,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1638187200000,2021-11-29 12:00:00,25,17,8,-75,474.3,,,
BTCUSDT,1,5000,5,0,0.15,0.05,0.4,1638273600000,2021-11-30 12:00:00,27,12,15,-81,97.35,7598.41,-1749,5849.41
