Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,TakeProfit,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1630497600000,2021-09-01 12:00:00,17,12,5,-51.0,348.9899999999999
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1630584000000,2021-09-02 12:00:00,18,9,9,-54.0,201.39
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1630670400000,2021-09-03 12:00:00,13,4,9,-39.0,-45.03
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1630756800000,2021-09-04 12:00:00,12,4,8,-36.0,40.53999999999999
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1630843200000,2021-09-05 12:00:00,11,5,6,-33.0,47.23
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1630929600000,2021-09-06 12:00:00,17,10,7,-51.0,232.94
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1631016000000,2021-09-07 12:00:00,39,27,12,-117.0,844.7300000000001
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1631102400000,2021-09-08 12:00:00,20,10,10,-60.0,196.8100000000001
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1631188800000,2021-09-09 12:00:00,16,6,10,-48.0,82.97999999999999
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1631275200000,2021-09-10 12:00:00,23,13,10,-69.0,391.14000000000004
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1631361600000,2021-09-11 12:00:00,12,7,5,-36.0,176.74999999999997
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1631448000000,2021-09-12 12:00:00,16,7,9,-48.0,117.44999999999999
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1631534400000,2021-09-13 12:00:00,24,14,10,-72.0,713.1699999999998
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1631620800000,2021-09-14 12:00:00,12,8,4,-36.0,187.35000000000002
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1631707200000,2021-09-15 12:00:00,13,5,8,-39.0,8.29000000000001
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1631793600000,2021-09-16 12:00:00,16,6,10,-48.0,54.99000000000001
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1631880000000,2021-09-17 12:00:00,12,7,5,-36.0,131.10000000000002
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1631966400000,2021-09-18 12:00:00,10,4,6,-30.0,48.08
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1632052800000,2021-09-19 12:00:00,18,9,9,-54.0,216.70999999999998
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1632139200000,2021-09-20 12:00:00,29,14,15,-87.0,370.8299999999999
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1632225600000,2021-09-21 12:00:00,38,25,13,-114.0,937.0499999999998
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1632312000000,2021-09-22 12:00:00,23,11,12,-69.0,169.07000000000002
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1632398400000,2021-09-23 12:00:00,22,14,8,-66.0,455.90999999999997
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1632484800000,2021-09-24 12:00:00,26,17,9,-78.0,424.25999999999993
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1632571200000,2021-09-25 12:00:00,23,12,11,-69.0,333.63999999999993
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1632657600000,2021-09-26 12:00:00,17,6,11,-51.0,140.03999999999996
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1632744000000,2021-09-27 12:00:00,21,12,9,-63.0,202.02000000000004
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1632830400000,2021-09-28 12:00:00,19,11,8,-57.0,379.1
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1632916800000,2021-09-29 12:00:00,19,10,9,-57.0,204.64000000000001
BTCUSDT,1,5000.0,5,0,0.05,0.15,0.8,0.4,1633003200000,2021-09-30 12:00:00,19,12,7,-57.0,495.69000000000005
