Symbol,Timeline,Amount,PivotStep,Delta,DeltaSL,DeltaTrigger,StopLoss,StartTime,StartTime(Human),TotalTrades,Success,Failure,Total Fees,Total PnL
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1635724800000,2021-11-01 00:00:00,13,4,9,39,343.29127
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1635811200000,2021-11-02 00:00:00,14,2,12,42,194.030470000001
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1635897600000,2021-11-03 00:00:00,14,4,10,42,162.76901
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1635984000000,2021-11-04 00:00:00,18,3,15,54,109.68584
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1636070400000,2021-11-05 00:00:00,14,3,11,42,102.796909999999
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1636156800000,2021-11-06 00:00:00,12,4,8,36,46.5441900000006
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1636243200000,2021-11-07 00:00:00,16,2,14,48,40.0234499999988
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1636329600000,2021-11-08 00:00:00,13,2,11,39,30.3748200000014
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1636416000000,2021-11-09 00:00:00,16,4,12,48,20.7607999999983
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1636502400000,2021-11-10 00:00:00,11,3,8,33,10.24637
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1636588800000,2021-11-11 00:00:00,18,4,14,54,-5.67413999999832
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1636675200000,2021-11-12 00:00:00,20,9,11,60,-7.12006999999946
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1636761600000,2021-11-13 00:00:00,14,1,13,42,-7.5771799999984
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1636848000000,2021-11-14 00:00:00,18,4,14,54,-20.1542699999995
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1636934400000,2021-11-15 00:00:00,14,3,11,42,-23.9643599999999
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1637020800000,2021-11-16 00:00:00,21,11,10,63,-35.2305099999994
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1637107200000,2021-11-17 00:00:00,21,5,16,63,-42.3661700000009
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1637193600000,2021-11-18 00:00:00,24,11,13,72,-54.69621
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1637280000000,2021-11-19 00:00:00,22,7,15,66,-56.9498299999996
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1637366400000,2021-11-20 00:00:00,18,4,14,54,-62.4212999999998
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1637452800000,2021-11-21 00:00:00,14,5,9,42,-68.1452299999991
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1637539200000,2021-11-22 00:00:00,21,6,15,63,-69.6443399999987
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1637625600000,2021-11-23 00:00:00,27,8,19,81,-69.7552400000015
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1637712000000,2021-11-24 00:00:00,17,3,14,51,-78.1662700000002
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1637798400000,2021-11-25 00:00:00,17,6,11,51,-81.2416400000006
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1637884800000,2021-11-26 00:00:00,23,7,16,69,-90.1219999999989
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1637971200000,2021-11-27 00:00:00,22,3,19,66,-100.297669999999
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1638057600000,2021-11-28 00:00:00,20,3,17,60,-103.439750000001
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1638144000000,2021-11-29 00:00:00,16,2,14,48,-117.79171
BTCUSDT,1m,5000,5,0,0.15,0.05,0.45,1638230400000,2021-11-30 00:00:00,19,6,13,57,-135.457809999998
,,,,,,,,,,,,,,-169.692569999992
